start_city,destination_city,distance_km,vehicle_type,fuel_type,mileage,fuel_price,passengers,departure_hour,traffic_level,weather_condition,toll_cost,parking_cost,estimated_time_minutes,fuel_consumption_litres,total_trip_cost
Surat,Mumbai,290.32,Sedan,Petrol,14.04,103.08,5,1,Medium,Cloudy,326.45,40.0,227.46,21.569,2749.2
Rajkot,Ahmedabad,221.24,Sedan,Petrol,16.43,106.83,3,10,Low,Clear,350.57,60.0,216.62,12.519,1880.39
Ahmedabad,Surat,282.82,Hatchback,Petrol,17.44,105.99,4,17,Medium,Clear,417.01,60.0,270.45,16.827,2420.34
Pune,Mumbai,156.3,SUV,Petrol,12.13,99.74,2,3,High,Clear,381.72,120.0,248.77,14.556,2060.01
Ahmedabad,Vadodara,115.72,Sedan,Petrol,13.78,104.91,2,6,Low,Clear,161.41,120.0,96.93,7.766,1178.93
Bengaluru,Mysuru,149.87,Sedan,Diesel,15.14,94.8,1,15,Medium,Clear,127.88,0.0,163.89,10.043,1175.58
Bengaluru,Mysuru,149.7,SUV,Petrol,9.69,96.63,3,11,High,Cloudy,154.06,0.0,210.62,18.415,2077.79
Surat,Mumbai,298.61,Sedan,Petrol,16.31,103.86,5,9,Medium,Clear,479.75,150.0,237.46,18.869,2817.21
Surat,Mumbai,298.99,Hatchback,CNG,13.96,72.15,4,19,Low,Rain,341.08,60.0,238.55,19.947,1984.33
Ahmedabad,Surat,262.46,Sedan,Petrol,16.95,96.82,2,17,High,Clear,438.56,60.0,290.52,17.456,2354.75
Delhi,Jaipur,289.27,SUV,Petrol,13.11,103.27,3,21,Medium,Clear,397.9,60.0,279.4,23.385,3127.11
Ahmedabad,Surat,278.68,Sedan,Diesel,15.19,94.48,2,9,Medium,Clear,359.88,60.0,265.57,19.635,2437.05
Rajkot,Ahmedabad,228.31,Hatchback,Petrol,20.3,103.94,5,13,High,Clear,234.52,0.0,299.6,13.007,1742.77
Delhi,Jaipur,283.67,SUV,CNG,11.71,84.89,2,2,Medium,Clear,457.96,60.0,276.42,24.825,2863.52
Rajkot,Ahmedabad,214.67,Sedan,Petrol,16.84,102.82,4,18,Low,Cloudy,263.25,80.0,213.99,11.778,1725.73
Vadodara,Mumbai,436.11,Hatchback,CNG,15.03,77.05,4,17,Low,Clear,471.85,40.0,276.66,27.163,2833.69
Vadodara,Mumbai,435.04,Sedan,Diesel,14.23,90.49,1,16,Medium,Clear,458.24,120.0,337.08,32.867,3820.59
Delhi,Jaipur,277.86,Hatchback,Petrol,16.46,98.66,4,15,Low,Rain,243.49,120.0,274.45,15.783,2085.55
Ahmedabad,Vadodara,112.0,Hatchback,Diesel,18.52,93.77,2,8,Medium,Cloudy,103.62,60.0,121.43,6.387,832.0
Ahmedabad,Udaipur,270.6,Hatchback,Petrol,17.97,96.86,5,17,Low,Clear,240.92,80.0,239.54,14.639,1914.85
Ahmedabad,Vadodara,115.11,SUV,Petrol,13.73,104.68,1,5,Low,Clear,123.98,150.0,101.47,8.1,1204.78
Surat,Mumbai,303.33,Hatchback,Diesel,20.04,88.32,5,12,Medium,Clear,429.86,0.0,236.84,15.443,1952.01
Delhi,Jaipur,294.97,SUV,Diesel,10.59,90.17,4,13,High,Clear,426.9,150.0,333.71,33.444,3857.57
Ahmedabad,Surat,266.93,Hatchback,Petrol,17.61,106.24,2,23,Low,Clear,414.34,80.0,220.1,14.139,2180.87
Vadodara,Mumbai,416.03,Hatchback,CNG,19.14,78.77,3,21,Medium,Cloudy,560.33,40.0,316.94,21.929,2547.11
Vadodara,Mumbai,448.57,Sedan,Petrol,18.19,107.15,3,12,Medium,Cloudy,519.0,120.0,336.81,25.474,3710.64
Ahmedabad,Surat,275.73,Sedan,CNG,11.95,74.44,5,1,Low,Clear,343.02,80.0,219.28,21.038,2195.34
Ahmedabad,Vadodara,111.41,SUV,Petrol,11.7,106.53,1,7,Medium,Cloudy,167.23,120.0,125.36,9.917,1430.76
Vadodara,Mumbai,412.59,SUV,Diesel,11.18,88.89,5,4,Medium,Clear,398.22,150.0,308.57,37.438,4217.87
Ahmedabad,Vadodara,115.22,Sedan,Petrol,12.51,96.7,1,5,High,Rain,140.03,80.0,158.38,10.504,1299.4
Pune,Mumbai,161.37,Sedan,Petrol,14.17,98.28,3,21,Medium,Cloudy,239.01,0.0,219.21,11.887,1497.56
Ahmedabad,Udaipur,260.85,Hatchback,CNG,18.24,84.26,5,14,Medium,Clear,267.8,80.0,258.55,15.353,1781.14
Ahmedabad,Udaipur,281.62,Hatchback,CNG,19.28,78.87,1,11,High,Rain,223.75,120.0,395.3,17.292,1846.06
Vadodara,Mumbai,439.52,Sedan,CNG,14.85,85.88,5,15,Low,Clear,613.91,80.0,281.6,27.009,3335.95
Ahmedabad,Udaipur,274.71,SUV,Petrol,9.7,97.94,2,10,Low,Clear,217.72,60.0,239.16,27.535,3197.46
Ahmedabad,Surat,270.5,Hatchback,Petrol,19.61,103.73,4,15,High,Clear,232.8,120.0,304.24,15.853,2119.08
Surat,Mumbai,315.67,Sedan,Diesel,15.08,97.05,4,9,Medium,Cloudy,518.08,80.0,256.96,21.677,2956.28
Pune,Mumbai,166.48,Sedan,Petrol,13.3,106.6,3,21,High,Clear,365.37,40.0,242.55,15.099,2098.53
Ahmedabad,Udaipur,268.33,Hatchback,Diesel,22.8,93.18,3,9,High,Clear,228.63,40.0,320.19,13.899,1688.07
Pune,Mumbai,161.0,Sedan,Diesel,13.98,97.56,3,3,Medium,Clear,356.75,0.0,212.32,12.161,1682.8
Ahmedabad,Udaipur,257.67,SUV,Diesel,11.81,91.87,5,19,Medium,Cloudy,297.15,40.0,290.67,22.252,2565.6
Surat,Mumbai,302.9,SUV,CNG,12.09,85.45,3,6,High,Clear,387.31,0.0,296.62,29.713,3146.37
Bengaluru,Mysuru,143.95,Sedan,Petrol,16.2,96.69,5,3,Medium,Clear,222.66,0.0,162.79,9.479,1224.56
Delhi,Jaipur,280.32,Sedan,Petrol,15.57,100.55,4,17,Low,Fog,289.16,0.0,284.47,16.937,2169.13
Ahmedabad,Vadodara,120.65,Hatchback,Diesel,17.99,97.07,5,7,Low,Fog,133.79,120.0,130.59,6.268,941.94
Ahmedabad,Vadodara,117.82,Hatchback,Diesel,18.64,87.01,4,2,Medium,Clear,154.7,40.0,124.95,6.662,846.33
Bengaluru,Mysuru,147.37,Sedan,Petrol,12.85,98.9,4,4,Medium,Rain,170.09,80.0,180.63,12.345,1567.66
Ahmedabad,Surat,282.5,SUV,Diesel,14.95,95.27,3,16,Medium,Clear,385.75,150.0,273.12,19.467,2627.72
Bengaluru,Mysuru,149.3,Hatchback,CNG,17.18,72.13,4,21,Medium,Rain,201.29,60.0,193.33,8.808,994.78
Vadodara,Mumbai,413.98,SUV,Diesel,13.08,87.63,3,14,Medium,Cloudy,651.39,40.0,339.34,33.374,3927.57
Ahmedabad,Surat,260.03,SUV,Diesel,9.98,91.87,3,6,Medium,Cloudy,361.03,80.0,266.11,26.404,3066.55
Ahmedabad,Vadodara,119.32,Hatchback,Petrol,17.23,95.0,5,2,Medium,Clear,104.05,80.0,120.24,7.389,963.44
Rajkot,Ahmedabad,216.12,SUV,Petrol,12.94,99.86,3,0,Medium,Clear,328.14,40.0,253.42,17.646,2340.06
Bengaluru,Mysuru,155.23,SUV,Petrol,11.8,101.22,4,14,Low,Clear,174.89,120.0,152.97,12.141,1660.15
Bengaluru,Mysuru,143.94,Hatchback,Petrol,14.87,96.73,5,18,High,Clear,196.12,120.0,195.82,11.121,1455.37
Bengaluru,Mysuru,153.95,SUV,Diesel,11.59,96.97,5,7,Medium,Rain,242.78,0.0,210.97,13.99,1740.12
Ahmedabad,Udaipur,256.91,SUV,Diesel,14.12,94.04,5,18,High,Cloudy,191.2,150.0,344.22,21.907,2576.31
Pune,Mumbai,152.89,SUV,CNG,8.56,80.53,2,5,Medium,Clear,214.53,150.0,206.45,19.221,2040.77
Ahmedabad,Surat,267.42,Hatchback,Petrol,18.54,98.92,5,17,High,Rain,342.73,40.0,329.14,17.057,2226.51
Ahmedabad,Vadodara,119.39,Sedan,CNG,12.04,82.57,4,19,Low,Cloudy,151.98,120.0,105.84,9.175,1107.71
Vadodara,Mumbai,446.21,Hatchback,Diesel,22.17,94.93,1,4,Medium,Clear,473.57,60.0,349.07,21.283,2786.66
Delhi,Jaipur,287.07,Sedan,Diesel,14.39,96.61,2,21,Medium,Clear,323.58,40.0,274.28,20.792,2608.93
Bengaluru,Mysuru,154.55,Sedan,Petrol,16.2,104.28,2,23,Medium,Rain,143.67,40.0,197.97,9.824,1299.07
Surat,Mumbai,295.04,Hatchback,Petrol,17.61,102.5,3,4,Medium,Clear,327.15,120.0,247.19,17.502,2370.88
Ahmedabad,Vadodara,110.13,Hatchback,CNG,14.03,85.53,2,20,Medium,Rain,177.54,0.0,132.81,8.218,928.93
Vadodara,Mumbai,412.07,Hatchback,Diesel,21.82,95.55,2,19,Medium,Clear,665.22,40.0,315.88,19.283,2812.31
Delhi,Jaipur,283.39,SUV,CNG,8.35,85.89,4,5,Medium,Clear,377.59,40.0,277.46,35.866,3783.83
Ahmedabad,Udaipur,266.29,Sedan,Petrol,17.18,94.52,4,11,Low,Cloudy,268.01,60.0,240.65,14.599,1863.73
Ahmedabad,Udaipur,259.65,Sedan,Diesel,17.25,87.83,3,16,Medium,Clear,242.7,40.0,264.79,15.446,1837.74
Ahmedabad,Surat,266.73,Sedan,CNG,13.78,72.66,2,17,High,Fog,394.59,60.0,345.22,22.823,2299.98
Vadodara,Mumbai,459.48,Sedan,CNG,13.52,81.34,4,8,Low,Clear,563.92,0.0,303.81,33.149,3632.6
Bengaluru,Mysuru,152.0,Hatchback,Diesel,21.95,96.47,3,8,Medium,Clear,147.3,0.0,170.65,7.315,950.55
Delhi,Jaipur,276.37,SUV,CNG,12.2,81.85,5,0,Medium,Clear,280.23,120.0,279.16,24.409,2675.15
Ahmedabad,Vadodara,111.56,Sedan,Diesel,17.25,96.34,2,18,Low,Clear,156.7,120.0,100.18,6.169,946.0
Ahmedabad,Udaipur,259.06,Hatchback,Diesel,18.37,96.57,2,11,Low,Clear,311.66,0.0,220.55,13.031,1735.44
Ahmedabad,Surat,262.35,Sedan,Petrol,12.88,105.99,3,1,Low,Clear,244.92,120.0,210.65,18.902,2539.58
Ahmedabad,Surat,261.77,Sedan,Petrol,13.15,102.63,1,14,High,Clear,345.11,80.0,277.18,23.291,2969.21
Vadodara,Mumbai,415.88,SUV,Diesel,15.69,97.78,5,0,Medium,Cloudy,525.25,40.0,349.94,27.536,3640.75
Ahmedabad,Surat,270.57,Hatchback,Petrol,20.2,94.01,2,1,Medium,Cloudy,238.24,40.0,259.03,13.517,1704.07
Ahmedabad,Vadodara,120.58,Sedan,Diesel,17.92,95.51,4,7,High,Cloudy,171.87,60.0,145.33,7.804,1046.9
Surat,Mumbai,288.94,Hatchback,CNG,18.03,75.68,4,16,Medium,Rain,319.38,60.0,256.46,16.649,1820.83
Vadodara,Mumbai,421.45,Sedan,Diesel,17.59,89.72,1,6,Medium,Cloudy,545.89,60.0,319.14,25.16,3118.75
Ahmedabad,Surat,275.28,Sedan,Petrol,15.28,98.36,2,10,Medium,Rain,408.84,40.0,288.39,18.277,2433.09
Delhi,Jaipur,277.46,SUV,Diesel,13.61,88.95,4,10,High,Clear,472.16,150.0,328.44,23.564,2987.46
Pune,Mumbai,162.94,SUV,Petrol,13.25,94.52,3,4,Medium,Clear,203.6,0.0,219.69,12.59,1539.44
Delhi,Jaipur,302.84,Sedan,Petrol,14.66,106.11,3,6,Medium,Clear,384.07,60.0,281.17,21.496,2985.32
Ahmedabad,Surat,282.4,Sedan,Diesel,18.53,91.17,2,10,Medium,Clear,421.2,150.0,269.6,15.879,2199.7
Delhi,Jaipur,288.96,SUV,CNG,10.77,81.64,4,21,High,Cloudy,309.03,60.0,346.65,32.236,3246.82
Pune,Mumbai,159.95,Sedan,Petrol,16.16,101.28,3,3,High,Clear,239.86,80.0,245.02,11.843,1606.6
Ahmedabad,Vadodara,119.25,Sedan,Petrol,13.66,98.15,5,16,Medium,Clear,187.1,80.0,121.61,8.918,1242.66
Delhi,Jaipur,278.88,Hatchback,Petrol,20.96,96.82,3,3,Medium,Clear,389.5,120.0,277.36,13.573,1985.92
Vadodara,Mumbai,422.12,Hatchback,Petrol,14.42,101.34,5,3,Medium,Fog,627.65,40.0,375.66,31.156,4058.05
Ahmedabad,Surat,270.55,SUV,Diesel,10.54,91.95,2,4,High,Cloudy,342.91,80.0,328.55,29.045,3268.3
Ahmedabad,Udaipur,273.49,Hatchback,Diesel,16.91,91.52,1,14,Low,Rain,224.84,60.0,275.32,15.654,1877.52
Rajkot,Ahmedabad,229.76,Sedan,CNG,14.25,82.13,2,19,Medium,Clear,331.86,40.0,251.33,17.271,1934.4
Surat,Mumbai,284.91,Sedan,CNG,15.67,85.64,4,17,Low,Cloudy,535.09,40.0,206.38,17.596,2254.33
Delhi,Jaipur,285.39,SUV,Petrol,11.19,100.61,1,8,Medium,Rain,384.12,120.0,332.35,25.814,3395.23
Ahmedabad,Udaipur,269.45,Sedan,Diesel,18.78,88.63,1,18,Medium,Clear,281.04,80.0,263.07,14.79,1890.25
Ahmedabad,Surat,276.01,Sedan,Petrol,13.74,98.79,1,23,Medium,Clear,242.16,40.0,266.05,21.288,2538.94
Vadodara,Mumbai,458.12,Hatchback,Petrol,18.35,101.08,3,22,High,Clear,577.26,40.0,426.75,28.171,3733.75
Pune,Mumbai,158.99,Sedan,Petrol,17.45,97.36,1,20,Low,Clear,370.58,0.0,181.59,8.443,1301.85
Vadodara,Mumbai,449.37,Sedan,Diesel,18.6,97.66,1,23,High,Cloudy,446.62,60.0,404.82,27.193,3533.17
Delhi,Jaipur,282.61,Sedan,Petrol,16.47,100.09,5,7,High,Clear,307.5,0.0,315.09,19.33,2407.59
Delhi,Jaipur,274.74,Hatchback,Petrol,19.32,95.48,4,20,Low,Clear,417.53,40.0,231.94,13.071,1892.77
Pune,Mumbai,159.86,Hatchback,CNG,15.04,75.74,1,13,Medium,Clear,200.93,150.0,209.72,11.172,1274.75
Delhi,Jaipur,278.5,Sedan,Diesel,14.16,96.69,4,13,High,Clear,414.39,120.0,310.28,22.161,2905.63
Delhi,Jaipur,304.36,Hatchback,Petrol,17.83,100.09,5,15,Low,Clear,250.66,60.0,260.41,16.564,2148.34
Surat,Mumbai,299.9,SUV,Petrol,10.67,107.19,5,21,Medium,Clear,282.53,120.0,253.16,29.281,3767.35
Surat,Mumbai,313.45,Hatchback,CNG,15.46,80.82,1,15,High,Cloudy,435.97,60.0,307.94,23.435,2561.57
Pune,Mumbai,153.66,Sedan,CNG,13.49,80.38,1,8,Low,Clear,218.24,80.0,170.19,10.726,1276.54
Ahmedabad,Surat,272.85,Hatchback,CNG,19.23,78.14,1,20,High,Rain,278.39,0.0,353.2,17.011,1773.0
Surat,Mumbai,303.54,Hatchback,CNG,17.17,80.85,1,13,High,Clear,309.43,60.0,293.74,20.605,2198.43
Ahmedabad,Vadodara,111.22,Sedan,Petrol,13.78,101.0,5,0,Medium,Cloudy,105.54,80.0,114.29,8.611,1150.99
Pune,Mumbai,155.81,Hatchback,Petrol,18.49,102.79,5,6,Medium,Clear,229.53,0.0,209.55,8.509,1197.14
Surat,Mumbai,310.14,SUV,Petrol,11.68,103.74,5,7,Medium,Rain,485.61,150.0,289.34,28.24,3842.88
Delhi,Jaipur,298.4,Sedan,Diesel,17.27,93.56,2,23,High,Cloudy,417.55,120.0,352.3,20.8,2657.48
Ahmedabad,Vadodara,114.56,Sedan,CNG,14.28,76.03,5,13,Medium,Rain,116.91,80.0,130.15,8.15,898.79
Ahmedabad,Udaipur,272.31,Hatchback,Diesel,20.11,95.51,3,21,Low,Fog,165.65,120.0,287.71,13.047,1697.83
Ahmedabad,Udaipur,282.93,SUV,CNG,12.07,77.48,3,21,Medium,Cloudy,259.26,60.0,317.69,24.425,2476.47
Vadodara,Mumbai,421.55,Hatchback,Diesel,16.66,95.12,2,21,High,Cloudy,410.98,40.0,412.51,30.445,3572.99
Ahmedabad,Vadodara,114.91,Sedan,Petrol,18.12,97.1,2,12,Medium,Clear,185.56,0.0,115.45,6.584,894.81
Ahmedabad,Udaipur,279.6,Sedan,Petrol,18.2,95.62,4,6,High,Rain,195.3,80.0,390.75,18.214,2194.88
Bengaluru,Mysuru,146.68,Hatchback,Petrol,17.62,102.03,3,20,High,Cloudy,188.95,40.0,198.19,9.372,1261.9
Delhi,Jaipur,279.35,Sedan,Petrol,14.04,94.63,2,22,Medium,Clear,477.16,80.0,269.56,20.844,2755.51
Surat,Mumbai,317.45,SUV,Diesel,13.93,89.53,2,15,Medium,Clear,501.86,40.0,272.18,23.518,2910.81
Delhi,Jaipur,278.97,Hatchback,Diesel,20.84,88.44,5,23,Medium,Cloudy,298.98,80.0,272.51,13.916,1780.64
Rajkot,Ahmedabad,226.2,SUV,Petrol,13.55,104.14,1,8,High,Cloudy,301.27,80.0,329.98,19.572,2639.55
Ahmedabad,Vadodara,116.84,Hatchback,Petrol,17.11,97.65,4,15,Low,Cloudy,126.5,80.0,107.55,6.585,930.67
Ahmedabad,Vadodara,119.38,Sedan,CNG,15.26,80.42,4,13,Low,Cloudy,126.94,40.0,105.0,7.236,832.82
Bengaluru,Mysuru,150.2,Sedan,Diesel,19.16,93.26,2,2,Medium,Rain,254.6,120.0,184.91,8.356,1263.54
Ahmedabad,Udaipur,283.13,Sedan,Diesel,19.21,93.72,4,12,Low,Clear,277.78,0.0,255.5,14.242,1812.55
Ahmedabad,Udaipur,283.45,Sedan,Petrol,14.33,102.8,1,8,Medium,Rain,164.65,40.0,332.87,21.051,2558.31
Bengaluru,Mysuru,158.33,Sedan,Diesel,18.48,94.91,1,2,Low,Clear,245.08,120.0,146.43,8.133,1234.12
Ahmedabad,Surat,288.57,Hatchback,CNG,14.41,81.05,2,15,Medium,Clear,369.05,60.0,275.73,21.483,2332.87
Bengaluru,Mysuru,146.97,Sedan,Diesel,14.24,95.66,4,3,Medium,Clear,179.08,80.0,158.99,10.54,1388.38
Ahmedabad,Vadodara,111.54,SUV,Petrol,12.43,99.45,5,21,Medium,Clear,190.11,80.0,113.54,9.626,1301.54
Ahmedabad,Vadodara,122.57,Sedan,Petrol,15.23,97.7,2,7,Low,Clear,157.2,60.0,105.28,7.715,1043.72
Ahmedabad,Surat,262.61,Hatchback,Diesel,19.45,95.47,4,21,High,Clear,261.63,120.0,304.07,16.203,2063.51
Surat,Mumbai,317.59,SUV,Diesel,11.16,90.53,5,17,Medium,Clear,422.53,80.0,253.94,30.292,3543.29
Rajkot,Ahmedabad,214.16,SUV,Petrol,12.09,107.01,1,22,Medium,Cloudy,194.09,60.0,243.04,18.328,2373.71
Delhi,Jaipur,289.88,Hatchback,Petrol,19.65,102.37,2,4,High,Clear,336.96,60.0,332.36,16.928,2289.05
Ahmedabad,Vadodara,119.39,SUV,Diesel,13.25,93.64,5,16,Low,Cloudy,150.86,120.0,113.9,8.429,1141.47
Delhi,Jaipur,304.85,Hatchback,Petrol,17.36,98.14,5,23,Low,Cloudy,481.77,80.0,278.19,16.102,2304.09
Surat,Mumbai,315.1,Sedan,Diesel,16.14,96.96,5,22,High,Cloudy,347.67,80.0,303.66,22.918,2921.23
Delhi,Jaipur,285.24,SUV,Diesel,13.19,96.87,1,23,High,Clear,462.09,120.0,341.42,25.506,3285.27
Ahmedabad,Udaipur,258.12,SUV,Petrol,12.58,104.17,3,22,Medium,Cloudy,183.81,60.0,268.9,22.107,2803.94
Pune,Mumbai,164.92,Hatchback,CNG,17.87,75.55,5,11,Medium,Clear,363.67,40.0,214.2,9.336,1190.73
Rajkot,Ahmedabad,220.21,Sedan,CNG,11.83,83.68,4,11,Medium,Clear,198.39,60.0,237.72,19.085,1992.51
Ahmedabad,Udaipur,274.84,Hatchback,CNG,14.2,80.09,3,23,Medium,Clear,231.21,60.0,273.07,20.175,2054.14
Ahmedabad,Surat,276.87,Sedan,Diesel,18.74,91.69,2,5,Medium,Clear,411.64,120.0,254.18,15.118,2138.07
Ahmedabad,Udaipur,275.23,Hatchback,CNG,15.98,73.65,1,8,Medium,Clear,232.97,40.0,274.97,18.411,1778.34
Ahmedabad,Udaipur,283.22,Sedan,Diesel,14.36,91.85,3,12,Medium,Rain,290.07,80.0,327.67,20.816,2462.3
Rajkot,Ahmedabad,212.05,Hatchback,Diesel,15.93,95.0,1,9,High,Cloudy,210.29,0.0,302.05,15.718,1820.15
Rajkot,Ahmedabad,220.48,SUV,Petrol,12.71,104.69,2,4,Medium,Clear,380.69,80.0,257.52,18.181,2527.94
Ahmedabad,Udaipur,282.13,Sedan,Diesel,14.9,91.54,5,15,Medium,Clear,223.37,40.0,275.07,20.204,2298.6
Surat,Mumbai,304.69,Hatchback,Diesel,21.7,90.73,3,7,Low,Clear,456.61,40.0,214.43,13.1,1860.9
Ahmedabad,Surat,283.28,Sedan,Petrol,16.47,102.45,5,10,Low,Cloudy,297.41,120.0,231.82,15.759,2237.89
Ahmedabad,Udaipur,269.28,SUV,CNG,11.41,72.54,2,16,Medium,Cloudy,164.03,40.0,294.48,25.002,2207.64
Surat,Mumbai,290.73,SUV,Petrol,10.71,102.73,4,22,Medium,Fog,434.24,120.0,291.36,28.106,3751.64
Ahmedabad,Surat,273.32,Hatchback,CNG,19.17,85.73,1,17,Low,Rain,370.99,60.0,264.95,13.538,1767.29
Delhi,Jaipur,276.75,Hatchback,Petrol,17.36,94.07,2,16,Medium,Clear,283.73,80.0,263.53,16.332,2037.9
Vadodara,Mumbai,459.03,SUV,Petrol,13.47,103.49,2,8,Low,Clear,432.74,40.0,315.99,32.677,4191.2
Ahmedabad,Surat,260.15,Sedan,CNG,12.17,72.6,5,9,Low,Clear,400.09,120.0,215.38,20.837,2246.41
Surat,Mumbai,317.08,Sedan,Diesel,19.48,97.2,2,23,High,Clear,523.18,80.0,305.84,19.057,2719.3
Ahmedabad,Udaipur,272.25,SUV,Petrol,10.59,95.89,1,11,Low,Fog,308.25,40.0,288.79,24.745,2972.65
Rajkot,Ahmedabad,220.02,Sedan,CNG,16.24,80.23,2,23,Medium,Cloudy,192.64,40.0,254.95,14.371,1530.0
Ahmedabad,Udaipur,260.11,Hatchback,Petrol,20.22,100.01,1,11,Low,Rain,228.46,120.0,265.28,12.518,1730.06
Surat,Mumbai,316.77,SUV,Diesel,13.94,91.33,4,9,High,Cloudy,426.07,80.0,314.87,26.874,3271.18
Pune,Mumbai,159.58,Sedan,Petrol,15.61,104.58,3,22,Low,Clear,223.72,150.0,175.14,9.678,1483.83
Ahmedabad,Vadodara,118.03,SUV,Diesel,9.6,89.67,3,12,High,Clear,106.95,80.0,140.33,14.657,1626.6
Bengaluru,Mysuru,142.88,Hatchback,Diesel,16.66,90.73,4,1,Low,Fog,238.04,0.0,170.79,8.076,1067.84
Pune,Mumbai,163.08,Hatchback,CNG,18.07,81.79,1,11,Low,Rain,319.8,40.0,206.92,8.79,1180.63
Pune,Mumbai,159.7,Sedan,Diesel,17.91,96.93,4,0,High,Clear,310.05,0.0,246.1,10.266,1406.53
Delhi,Jaipur,302.17,Hatchback,Petrol,16.67,102.47,4,14,Low,Clear,264.58,60.0,255.34,17.211,2290.39
Ahmedabad,Udaipur,262.05,SUV,CNG,9.26,75.38,4,6,Medium,Clear,197.62,60.0,277.6,29.968,2783.71
Ahmedabad,Vadodara,121.77,Hatchback,Diesel,23.06,94.59,2,14,Medium,Clear,162.25,80.0,124.34,5.478,822.36
Bengaluru,Mysuru,156.05,Sedan,Petrol,14.78,107.0,4,23,Medium,Cloudy,213.43,120.0,172.41,11.363,1682.89
Ahmedabad,Vadodara,113.24,Sedan,Diesel,15.13,91.93,5,4,Low,Fog,158.99,40.0,118.52,7.019,918.19
Delhi,Jaipur,303.03,SUV,Diesel,15.73,94.35,4,19,Low,Clear,382.83,60.0,267.99,17.958,2415.24
Pune,Mumbai,160.97,SUV,Diesel,15.67,97.28,5,23,Medium,Clear,230.04,150.0,217.01,10.559,1536.12
Ahmedabad,Surat,275.73,Hatchback,CNG,19.33,76.5,3,11,Medium,Clear,247.17,0.0,257.45,15.339,1567.88
Surat,Mumbai,315.34,Sedan,CNG,12.34,81.68,3,16,Medium,Fog,352.25,0.0,298.17,26.149,2713.89
Ahmedabad,Vadodara,121.41,SUV,Petrol,11.11,94.51,5,0,Low,Rain,120.79,80.0,126.9,10.542,1298.8
Vadodara,Mumbai,417.12,Hatchback,Diesel,16.5,93.43,1,5,Medium,Rain,532.02,80.0,354.68,26.552,3350.5
Bengaluru,Mysuru,157.46,SUV,Diesel,13.53,88.55,2,4,Low,Rain,231.4,40.0,180.91,11.223,1406.3
Ahmedabad,Vadodara,115.26,Sedan,Petrol,14.81,102.9,3,13,Medium,Rain,141.84,60.0,132.96,7.91,1089.71
Vadodara,Mumbai,433.52,Hatchback,Diesel,23.12,93.41,3,10,Medium,Cloudy,550.25,80.0,330.2,19.651,2715.56
Pune,Mumbai,167.25,SUV,CNG,10.82,74.37,4,16,High,Rain,236.5,80.0,311.47,18.247,1827.0
Ahmedabad,Surat,287.75,Sedan,CNG,12.96,85.5,2,13,Low,Clear,369.55,120.0,237.1,20.854,2500.11
Bengaluru,Mysuru,149.35,Sedan,Diesel,16.98,92.75,4,8,Medium,Rain,130.4,40.0,184.45,9.381,1142.85
Ahmedabad,Vadodara,122.66,Sedan,Petrol,17.93,106.04,2,7,Medium,Clear,138.92,80.0,127.02,6.982,1047.19
Bengaluru,Mysuru,145.28,SUV,CNG,9.35,73.56,1,5,Low,Clear,128.06,40.0,150.97,14.524,1359.14
Bengaluru,Mysuru,154.46,Sedan,Diesel,18.51,94.28,2,14,Medium,Cloudy,229.36,0.0,179.57,8.866,1165.0
Bengaluru,Mysuru,150.02,Hatchback,Petrol,20.23,97.46,5,13,Medium,Rain,216.77,120.0,195.93,7.992,1213.82
Rajkot,Ahmedabad,212.69,Sedan,Diesel,17.83,92.77,1,13,High,Clear,343.13,80.0,278.03,13.833,1849.83
Ahmedabad,Surat,263.13,SUV,Diesel,15.04,92.6,2,12,Low,Cloudy,331.78,40.0,226.66,16.571,2091.21
Ahmedabad,Surat,274.34,SUV,Petrol,10.48,98.5,2,23,Medium,Clear,369.46,40.0,274.2,28.275,3382.55
Ahmedabad,Vadodara,113.5,Hatchback,Petrol,15.66,100.87,1,13,Medium,Clear,199.21,150.0,111.11,7.661,1185.56
Bengaluru,Mysuru,142.66,Sedan,CNG,16.37,75.45,4,3,High,Clear,233.68,60.0,183.15,9.811,1115.35
Ahmedabad,Surat,266.38,Sedan,Petrol,14.54,96.31,4,5,Medium,Clear,301.14,60.0,244.16,18.647,2306.34
Ahmedabad,Udaipur,266.13,Sedan,CNG,14.44,84.96,3,20,Medium,Clear,197.79,60.0,263.85,19.242,2097.72
Bengaluru,Mysuru,145.06,Hatchback,Diesel,18.39,95.63,4,15,Low,Cloudy,220.67,80.0,146.13,7.554,1119.38
Delhi,Jaipur,277.06,Hatchback,Diesel,18.86,91.64,1,19,High,Clear,267.08,150.0,323.33,17.43,2185.38
Pune,Mumbai,167.21,Hatchback,CNG,16.96,72.33,1,0,High,Rain,398.43,80.0,307.47,11.85,1421.76
Pune,Mumbai,165.62,SUV,CNG,12.29,84.55,1,9,Medium,Cloudy,375.75,120.0,232.12,14.534,1844.15
Ahmedabad,Vadodara,115.01,Sedan,CNG,14.92,83.33,2,14,High,Fog,114.31,0.0,167.29,9.014,935.63
Ahmedabad,Udaipur,256.91,SUV,Petrol,9.83,96.99,5,18,High,Clear,238.67,0.0,314.98,30.258,3410.29
Ahmedabad,Vadodara,119.04,Sedan,CNG,11.79,82.84,2,0,Medium,Rain,116.54,60.0,139.23,10.876,1166.78
