start_city,start_state,start_lat,start_lon,dest_city,dest_state,dest_lat,dest_lon,haversine_km,road_km,factor,source
Deoghar,Jharkhand,24.48983,86.69902,Pilibhit,Uttar Pradesh,28.63124,79.80436,825.732,996.341,1.20662,osrm
Deoria,Uttar Pradesh,26.50167,83.77936,Suriapet,Telangana,17.14054,79.62045,1125.695,1463.522,1.30010,osrm
Muzaffarnagar,Uttar Pradesh,29.47091,77.70332,Gonda City,Uttar Pradesh,27.13181,81.95332,490.630,616.981,1.25753,osrm
Hazaribagh,Jharkhand,23.99241,85.36162,Basirhat City,West Bengal,22.66142,88.85477,386.139,440.068,1.13966,osrm
Chanduasi,Uttar Pradesh,28.45178,78.78277,Chandigarh,Chandigarh,30.73629,76.78840,318.910,411.154,1.28925,osrm
Navi Mumbai,Maharashtra,19.03681,73.01582,Pune,Maharashtra,18.51957,73.85535,105.448,127.849,1.21243,osrm
Nangloi Jat,Delhi,28.67957,77.06799,Yamuna Nagar,Haryana,30.12796,77.28371,162.404,206.372,1.27074,osrm
Barshi,Maharashtra,18.23454,75.69275,Coimbatore,Tamil Nadu,11.00555,76.96612,815.402,941.202,1.15428,osrm
Panipat,Haryana,29.38747,76.96825,Gonda City,Uttar Pradesh,27.13181,81.95332,548.820,672.359,1.22510,osrm
Nandurbar,Maharashtra,21.36671,74.24051,Kadapa,Andhra Pradesh,14.47995,78.82346,906.159,1101.269,1.21532,osrm
Hashtsal,Delhi,28.63406,77.05771,Abohar,Punjab,30.14453,74.19552,324.182,368.565,1.13691,osrm
Balasore,Odisha,21.49266,86.93348,Bankura,West Bengal,23.23241,87.07160,193.972,243.033,1.25293,osrm
Sasaram,Bihar,24.94942,84.01645,Kishanganj,Bihar,26.10224,87.95534,415.478,508.990,1.22507,osrm
Barasat,West Bengal,22.72154,88.48198,Raebareli,Uttar Pradesh,26.23090,81.23315,830.689,943.953,1.13635,osrm
Aurangabad,Maharashtra,19.87757,75.34226,Mumbai,Maharashtra,19.07283,72.88261,272.933,334.097,1.22410,osrm
Bidar,Karnataka,17.90802,77.51524,Tiruchirappalli,Tamil Nadu,10.81550,78.69651,798.837,954.924,1.19539,osrm
Neyveli,Tamil Nadu,11.60877,79.49940,Udupi,Karnataka,13.33467,74.74617,550.565,696.177,1.26448,osrm
Purnia,Bihar,25.77895,87.47422,Bhind,Madhya Pradesh,26.56671,78.78728,871.146,1063.345,1.22063,osrm
Palwal,Haryana,28.14469,77.32546,New Delhi,Delhi,28.62137,77.21480,54.099,57.455,1.06204,osrm
Bhilai,Chhattisgarh,21.20919,81.42850,Raiganj,West Bengal,25.61281,88.12449,840.345,1111.270,1.32240,osrm
Ambikapur,Chhattisgarh,23.11892,83.19537,Kulti,West Bengal,23.73166,86.84372,378.414,536.972,1.41901,osrm
Rasapudipalem,Andhra Pradesh,17.73308,83.31622,Jagdalpur,Chhattisgarh,19.08136,82.02131,202.832,303.558,1.49660,osrm
Karol Bagh,Delhi,28.65136,77.19072,Kukatpally,Telangana,17.48486,78.41376,1247.917,1525.921,1.22277,osrm
Nangloi Jat,Delhi,28.67957,77.06799,Muzaffarnagar,Uttar Pradesh,29.47091,77.70332,107.494,145.067,1.34954,osrm
Fyzabad,Uttar Pradesh,26.77549,82.15018,Patna,Bihar,25.59408,85.13563,325.564,386.346,1.18670,osrm
Morena,Madhya Pradesh,26.49892,77.99534,Deoghar,Jharkhand,24.48983,86.69902,901.458,1076.618,1.19431,osrm
Mau,Uttar Pradesh,25.94167,83.56111,Gaya,Bihar,24.79686,85.00385,192.912,240.280,1.24554,osrm
Muzaffarnagar,Uttar Pradesh,29.47091,77.70332,Saharanpur,Uttar Pradesh,29.96790,77.54522,57.333,61.193,1.06733,osrm
Uluberiya,West Bengal,22.47560,88.09898,Halisahar,West Bengal,22.93218,88.41859,60.435,81.538,1.34919,osrm
Ludhiana,Punjab,30.91204,75.85379,Bhind,Madhya Pradesh,26.56671,78.78728,561.413,670.096,1.19359,osrm
Jamalpur,Bihar,25.31258,86.48888,Churu,Rajasthan,28.30415,74.96718,1190.263,1463.425,1.22950,osrm
Barshi,Maharashtra,18.23454,75.69275,Alandur,Tamil Nadu,13.00250,80.20611,756.218,943.763,1.24800,osrm
Ratlam,Madhya Pradesh,23.33033,75.04032,Valsad,Gujarat,20.61013,72.93428,372.345,485.502,1.30390,osrm
Bulandshahr,Uttar Pradesh,28.40392,77.85773,Chanduasi,Uttar Pradesh,28.45178,78.78277,90.613,124.103,1.36959,osrm
Chanduasi,Uttar Pradesh,28.45178,78.78277,Roorkee,Uttarakhand,29.86632,77.89118,179.541,209.614,1.16751,osrm
Orai,Uttar Pradesh,25.99023,79.45334,Barshi,Maharashtra,18.23454,75.69275,945.227,1207.674,1.27765,osrm
Khanna,Punjab,30.70547,76.22196,Jind,Haryana,29.31577,76.31502,154.787,200.809,1.29732,osrm
Gajuwaka,Andhra Pradesh,17.70000,83.21667,Akola,Maharashtra,20.70957,76.99810,733.629,1021.548,1.39246,osrm
Sangli,Maharashtra,16.85438,74.56417,Tumkur,Karnataka,13.34136,77.10220,476.241,561.654,1.17935,osrm
Pandit Deen Dayal Upadhyaya Nagar,Uttar Pradesh,25.28307,83.11968,Ghazipur,Uttar Pradesh,25.58333,83.58526,57.450,81.650,1.42122,osrm
Vidisha,Madhya Pradesh,23.52604,77.81092,Adilabad,Telangana,19.67203,78.53590,435.049,595.937,1.36982,osrm
Burhanpur,Madhya Pradesh,21.30868,76.23026,Sawai Madhopur,Rajasthan,26.02301,76.34408,524.338,585.323,1.11631,osrm
Amaravati,Andhra Pradesh,16.51400,80.51600,Karur,Tamil Nadu,10.95771,78.08095,671.441,795.947,1.18543,osrm
Mandya,Karnataka,12.52230,76.89746,Adoni,Andhra Pradesh,15.62788,77.27495,347.716,425.144,1.22267,osrm
Bansbaria,West Bengal,22.95387,88.40098,Gorakhpur,Uttar Pradesh,26.76628,83.36889,661.270,804.756,1.21699,osrm
Guna,Madhya Pradesh,24.64691,77.31130,Hindaun,Rajasthan,26.73411,77.03519,233.729,359.829,1.53951,osrm
Brahmapur,Odisha,19.31151,84.79290,Bokaro,Jharkhand,23.66934,86.15161,504.535,658.357,1.30488,osrm
Kanpur Cantonment,Uttar Pradesh,26.45942,80.37514,Bilimora,Gujarat,20.76957,72.96134,984.870,1205.396,1.22391,osrm
Akola,Maharashtra,20.70957,76.99810,Bhadrak,Odisha,21.05447,86.51560,989.383,1174.469,1.18707,osrm
Baripada,Odisha,21.93458,86.72852,Kulti,West Bengal,23.73166,86.84372,200.175,271.682,1.35722,osrm
Itarsi,Madhya Pradesh,22.61477,77.76222,Yamuna Nagar,Haryana,30.12796,77.28371,836.785,1051.119,1.25614,osrm
Amravati,Maharashtra,20.93333,77.75000,Malda,West Bengal,25.00447,88.14573,1156.057,1476.774,1.27742,osrm
Rourkela,Odisha,22.22496,84.86414,Dharmavaram,Andhra Pradesh,14.41435,77.72035,1149.656,1536.073,1.33612,osrm
Machilipatnam,Andhra Pradesh,16.18747,81.13888,Robertsonpet,Karnataka,12.95629,78.27539,473.311,608.131,1.28484,osrm
Amritsar,Punjab,31.62234,74.87534,Ratlam,Madhya Pradesh,23.33033,75.04032,922.174,1108.553,1.20211,osrm
Srikakulam,Andhra Pradesh,18.29890,83.89751,Jaunpur,Uttar Pradesh,25.75356,82.68689,838.243,1270.979,1.51624,osrm
Sambhal,Uttar Pradesh,28.58498,78.56959,Delhi,Delhi,28.65195,77.23149,130.824,156.144,1.19354,osrm
Dinapur Nizamat,Bihar,25.63847,85.05118,Korba,Chhattisgarh,22.34580,82.69633,437.324,571.032,1.30574,osrm
Basirhat City,West Bengal,22.66142,88.85477,Krishnanagar,West Bengal,23.40576,88.49073,90.764,118.553,1.30617,osrm
Bathinda,Punjab,30.20747,74.93893,Bahadurgarh,Haryana,28.69287,76.93555,256.386,316.986,1.23636,osrm
Bhuj,Gujarat,23.25397,69.66928,Bharuch,Gujarat,21.69482,72.98050,381.833,545.971,1.42987,osrm
Moradabad,Uttar Pradesh,28.83893,78.77684,Thanesar,Haryana,29.97323,76.83214,226.700,266.970,1.17764,osrm
Surat,Gujarat,21.19594,72.83023,Vapi,Gujarat,20.37175,72.90493,91.974,117.034,1.27246,osrm
Agartala,Tripura,23.83605,91.27939,Haldia,West Bengal,22.06046,88.10975,379.868,535.971,1.41094,osrm
Alappuzha,Kerala,9.49004,76.32640,Tiruvottiyur,Tamil Nadu,13.15823,80.30181,595.118,740.993,1.24512,osrm
Dehradun,Uttarakhand,30.32443,78.03392,Chirmiri,Chhattisgarh,23.19073,82.35314,901.494,1177.662,1.30635,osrm
Moradabad,Uttar Pradesh,28.83893,78.77684,Chanduasi,Uttar Pradesh,28.45178,78.78277,43.053,44.934,1.04370,osrm
Etawah,Uttar Pradesh,26.77615,79.02133,Bangaon,West Bengal,23.04553,88.83084,1072.277,1169.477,1.09065,osrm
Gadag,Karnataka,15.42977,75.62971,Adoni,Andhra Pradesh,15.62788,77.27495,177.635,236.148,1.32940,osrm
Itarsi,Madhya Pradesh,22.61477,77.76222,Etah,Uttar Pradesh,27.55879,78.65692,557.078,743.311,1.33430,osrm
Amaravati,Andhra Pradesh,16.51400,80.51600,Achalpur,Maharashtra,21.25665,77.51006,614.853,809.907,1.31724,osrm
Seoni,Madhya Pradesh,22.08503,79.55037,Noida,Uttar Pradesh,28.58000,77.33000,755.839,905.299,1.19774,osrm
Valsad,Gujarat,20.61013,72.93428,Bhavnagar,Gujarat,21.76287,72.15331,151.610,406.740,2.68279,osrm
Rohtak,Haryana,28.89447,76.58917,Mandoli,Delhi,28.70275,77.30995,73.398,94.156,1.28281,osrm
Darbhanga,Bihar,26.15216,85.89707,Agartala,Tripura,23.83605,91.27939,600.386,761.823,1.26889,osrm
Gudivada,Andhra Pradesh,16.43547,80.99555,Dharavi,Maharashtra,19.05000,72.86667,908.504,1029.989,1.13372,osrm
Haldia,West Bengal,22.06046,88.10975,Bhetia,Jharkhand,22.79321,86.14098,218.144,281.782,1.29172,osrm
Raj-Nandgaon,Chhattisgarh,21.09687,81.02890,Seoni,Madhya Pradesh,22.08503,79.55037,188.259,259.785,1.37993,osrm
Gundupalaiyam,Puducherry,11.94096,79.80294,Kollam,Kerala,8.88113,76.58469,489.495,590.583,1.20651,osrm
Phagwara,Punjab,31.22452,75.77387,Sonipat,Haryana,28.99478,77.01937,275.358,300.956,1.09296,osrm
Barddhaman,West Bengal,23.25572,87.85691,Muzaffarpur,Bihar,26.12259,85.39055,404.584,507.014,1.25317,osrm
Pilibhit,Uttar Pradesh,28.63124,79.80436,Mustafabad,Delhi,28.71974,77.26781,247.650,323.560,1.30653,osrm
Anantapur,Andhra Pradesh,14.67784,77.60813,Adilabad,Telangana,19.67203,78.53590,564.001,676.553,1.19956,osrm
Indore,Madhya Pradesh,22.71792,75.83330,Bilimora,Gujarat,20.76957,72.96134,367.298,457.413,1.24535,osrm
Karnal,Haryana,29.69197,76.98448,Guna,Madhya Pradesh,24.64691,77.31130,561.916,740.514,1.31784,osrm
Saugor,Madhya Pradesh,23.83877,78.73874,Bhayandar,Maharashtra,19.30157,72.85107,790.495,994.438,1.25800,osrm
Palanpur,Gujarat,24.17128,72.43827,Indore,Madhya Pradesh,22.71792,75.83330,382.173,501.729,1.31283,osrm
Balasore,Odisha,21.49266,86.93348,Dam Dam,West Bengal,22.63341,88.42286,199.113,255.442,1.28290,osrm
Dhanbad,Jharkhand,23.79759,86.42992,Punasa,Madhya Pradesh,22.23507,76.39335,1041.519,1309.459,1.25726,osrm
Budaun,Uttar Pradesh,28.03811,79.12668,Kulti,West Bengal,23.73166,86.84372,908.100,1008.489,1.11055,osrm
Muzaffarnagar,Uttar Pradesh,29.47091,77.70332,Sultan Pur Majra,Delhi,28.68966,77.07648,106.100,143.855,1.35585,osrm
Puducherry,Puducherry,11.93381,79.82979,Navsari,Gujarat,20.94237,72.92467,1242.693,1470.087,1.18298,osrm
Surat,Gujarat,21.19594,72.83023,Bhavnagar,Gujarat,21.76287,72.15331,94.233,339.380,3.60149,osrm
Siwan,Bihar,26.22096,84.35609,Anand,Gujarat,22.55251,72.95520,1223.945,1505.201,1.22979,osrm
Karaikkudi,Tamil Nadu,10.06615,78.76784,Thoothukudi,Tamil Nadu,8.76735,78.13425,160.273,218.141,1.36105,osrm
Khammam,Telangana,17.24767,80.14368,Tumkur,Karnataka,13.34136,77.10220,543.174,691.420,1.27293,osrm
Bettiah,Bihar,26.80229,84.50311,Hazaribagh,Jharkhand,23.99241,85.36162,324.123,403.743,1.24565,osrm
Thane,Maharashtra,19.19704,72.96355,Rajapalayam,Tamil Nadu,9.45296,77.55335,1190.702,1496.730,1.25702,osrm
Proddatur,Andhra Pradesh,14.75020,78.54813,Botad,Gujarat,22.16917,71.66671,1098.317,1480.488,1.34796,osrm
Etah,Uttar Pradesh,27.55879,78.65692,Churu,Rajasthan,28.30415,74.96718,371.823,433.927,1.16703,osrm
Ranipet,Tamil Nadu,12.92471,79.33331,Bilaspur,Chhattisgarh,22.08005,82.15543,1060.990,1342.660,1.26548,osrm
Bhadravati,Karnataka,13.84846,75.70502,Tumkur,Karnataka,13.34136,77.10220,161.190,193.460,1.20020,osrm
Bilimora,Gujarat,20.76957,72.96134,Delhi,Delhi,28.65195,77.23149,976.616,1115.213,1.14192,osrm
Najafgarh,Delhi,28.60922,76.97982,Rewari,Haryana,28.19900,76.61830,57.715,72.667,1.25908,osrm
Mangalagiri,Andhra Pradesh,16.43083,80.56815,Chapra,Bihar,25.78031,84.74709,1126.106,1486.198,1.31977,osrm
Navi Mumbai,Maharashtra,19.03681,73.01582,Kozhikode,Kerala,11.24802,75.78040,915.407,1229.178,1.34277,osrm
Ludhiana,Punjab,30.91204,75.85379,Mathura,Uttar Pradesh,27.50350,77.67215,418.066,455.547,1.08965,osrm
Bangaon,West Bengal,23.04553,88.83084,Rajpur Sonarpur,West Bengal,22.43820,88.43205,78.950,90.994,1.15256,osrm
Gyanpur,Uttar Pradesh,25.33268,82.46637,Banda,Uttar Pradesh,25.47758,80.33491,214.692,258.156,1.20245,osrm
Morvi,Gujarat,22.81731,70.83770,Damoh,Madhya Pradesh,23.83312,79.44190,885.637,1128.703,1.27445,osrm
Munger,Bihar,25.37459,86.47455,Arrah,Bihar,25.55629,84.66335,182.947,216.893,1.18555,osrm
Buxar,Bihar,25.57548,83.98043,Bareilly,Uttar Pradesh,28.36678,79.43167,547.220,627.609,1.14690,osrm
Kota,Rajasthan,25.18254,75.83907,Rewari,Haryana,28.19900,76.61830,344.230,424.102,1.23203,osrm
Srikakulam,Andhra Pradesh,18.29890,83.89751,Shivamogga,Karnataka,13.93157,75.56791,1013.418,1191.595,1.17582,osrm
Kushinagar,Uttar Pradesh,26.74134,83.88689,Siwan,Bihar,26.22096,84.35609,74.357,104.335,1.40316,osrm
Alwar,Rajasthan,27.56246,76.62500,Banda,Uttar Pradesh,25.47758,80.33491,435.840,557.686,1.27957,osrm
Bahraigh,Uttar Pradesh,27.57429,81.59474,Rohtak,Haryana,28.89447,76.58917,511.819,587.129,1.14714,osrm
Asansol,West Bengal,23.68333,86.98333,Deoghar,Jharkhand,24.48983,86.69902,94.209,125.275,1.32977,osrm
Thenali,Andhra Pradesh,16.24253,80.63982,Junagadh,Gujarat,21.51966,70.45981,1220.687,1728.175,1.41574,osrm
Nimach,Rajasthan,24.45949,74.86625,Bundi,Rajasthan,25.43855,75.63735,133.774,173.805,1.29924,osrm
Vellore,Tamil Nadu,12.91840,79.13255,Kanhangad,Kerala,12.30814,75.10632,442.124,555.198,1.25575,osrm
Kanpur Cantonment,Uttar Pradesh,26.45942,80.37514,Dinapur Nizamat,Bihar,25.63847,85.05118,475.940,567.287,1.19193,osrm
Phusro,Jharkhand,23.75644,86.00510,Chandannagar,West Bengal,22.86225,88.36796,260.971,306.362,1.17393,osrm
Yavatmal,Maharashtra,20.39324,78.13201,Ramgundam,Telangana,18.80084,79.45206,224.661,296.257,1.31869,osrm
Dehradun,Uttarakhand,30.32443,78.03392,Patiala,Punjab,30.33625,76.39220,157.569,209.407,1.32899,osrm
Hassan,Karnataka,13.00715,76.09620,Erode,Tamil Nadu,11.34280,77.72741,256.288,352.375,1.37492,osrm
Godhra,Gujarat,22.77547,73.61488,Datia,Madhya Pradesh,25.67312,78.45908,587.373,704.975,1.20022,osrm
Faridabad,Haryana,28.41124,77.31316,Ambala Sadar,Haryana,30.33544,76.86265,218.369,241.631,1.10653,osrm
Panchkula,Haryana,30.69461,76.85040,Ludhiana,Punjab,30.91204,75.85379,98.207,107.466,1.09428,osrm
Itarsi,Madhya Pradesh,22.61477,77.76222,Morena,Madhya Pradesh,26.49892,77.99534,432.541,562.158,1.29966,osrm
Bettiah,Bihar,26.80229,84.50311,Orai,Uttar Pradesh,25.99023,79.45334,510.969,616.733,1.20699,osrm
Roorkee,Uttarakhand,29.86632,77.89118,Bahadurgarh,Haryana,28.69287,76.93555,160.049,216.835,1.35481,osrm
Jagdalpur,Chhattisgarh,19.08136,82.02131,Kolkata,West Bengal,22.56263,88.36304,764.219,977.032,1.27847,osrm
Chikmagalur,Karnataka,13.32231,75.77400,Nowrangapur,Odisha,19.23114,82.54826,976.676,1280.983,1.31157,osrm
Hindupur,Andhra Pradesh,13.82807,77.49143,Latur,Maharashtra,18.39721,76.56784,517.551,636.822,1.23045,osrm
Bhopal,Madhya Pradesh,23.25469,77.40289,Tumkur,Karnataka,13.34136,77.10220,1102.769,1369.481,1.24186,osrm
Banda,Uttar Pradesh,25.47758,80.33491,Khargone,Madhya Pradesh,21.82292,75.61394,629.464,784.275,1.24594,osrm
Kolar,Karnataka,13.13768,78.12999,Mumbai,Maharashtra,19.07283,72.88261,865.697,1053.976,1.21749,osrm
Bilaspur,Chhattisgarh,22.08005,82.15543,Bahadurgarh,Haryana,28.69287,76.93555,902.834,1122.636,1.24346,osrm
Khargone,Madhya Pradesh,21.82292,75.61394,Najafgarh,Delhi,28.60922,76.97982,766.987,840.950,1.09643,osrm
Korba,Chhattisgarh,22.34580,82.69633,Nandyal,Andhra Pradesh,15.47799,78.48360,882.745,1221.785,1.38407,osrm
Visakhapatnam,Andhra Pradesh,17.68009,83.20161,Chilakalurupet,Andhra Pradesh,16.08987,80.16705,368.115,420.576,1.14251,osrm
Karol Bagh,Delhi,28.65136,77.19072,Rampur,Uttar Pradesh,28.81014,79.02699,179.913,198.897,1.10552,osrm
Buxar,Bihar,25.57548,83.98043,Sultanpur,Uttar Pradesh,26.25788,82.07269,205.329,257.348,1.25335,osrm
Raniganj,Telangana,17.42841,78.49361,Raj-Nandgaon,Chhattisgarh,21.09687,81.02890,487.016,681.611,1.39956,osrm
Raurkela Industrial Township,Odisha,22.19994,84.86176,Rajamahendravaram,Andhra Pradesh,17.00517,81.77784,661.751,914.370,1.38174,osrm
Gadag,Karnataka,15.42977,75.62971,Malkajgiri,Telangana,17.44781,78.52633,381.803,448.856,1.17562,osrm
Brahmapur,Odisha,19.31151,84.79290,Ramgundam,Telangana,18.80084,79.45206,564.171,762.949,1.35234,osrm
Miryalaguda,Telangana,16.87220,79.56247,Narasaraopet,Andhra Pradesh,16.23488,80.04927,87.831,96.693,1.10090,osrm
Baharampur,West Bengal,24.10473,88.25155,Delhi,Delhi,28.65195,77.23149,1207.877,1432.879,1.18628,osrm
Patna,Bihar,25.59408,85.13563,Gonda City,Uttar Pradesh,27.13181,81.95332,360.202,437.035,1.21330,osrm
Bokaro,Jharkhand,23.66934,86.15161,Deoria,Uttar Pradesh,26.50167,83.77936,395.274,517.307,1.30873,osrm
Narmadapuram,Madhya Pradesh,22.74747,77.72736,Jamshedpur,Jharkhand,22.80278,86.18545,867.072,1146.380,1.32213,osrm
Kaithal,Haryana,29.80153,76.39959,Sonipat,Haryana,28.99478,77.01937,107.945,135.476,1.25504,osrm
Kishanganj,Bihar,26.10224,87.95534,Silchar,Assam,24.82733,92.79787,506.359,805.396,1.59056,osrm
Chapra,Bihar,25.78031,84.74709,Ghazipur,Uttar Pradesh,25.58333,83.58526,118.470,151.121,1.27561,osrm
Mango,Jharkhand,22.82750,86.21639,Kanpur,Uttar Pradesh,26.46523,80.34975,717.577,873.550,1.21736,osrm
Thanjavur,Tamil Nadu,10.78523,79.13909,Hubballi,Karnataka,15.34776,75.13378,667.444,785.496,1.17687,osrm
Mustafabad,Delhi,28.71974,77.26781,Moradabad,Uttar Pradesh,28.83893,78.77684,147.665,162.637,1.10139,osrm
Hindaun,Rajasthan,26.73411,77.03519,Malkajgiri,Telangana,17.44781,78.52633,1043.921,1383.259,1.32506,osrm
Gangapur,Rajasthan,26.47249,76.71744,Morvi,Gujarat,22.81731,70.83770,719.769,951.196,1.32153,osrm
Hosapete,Karnataka,15.26954,76.38710,Narmadapuram,Madhya Pradesh,22.74747,77.72736,843.340,1048.342,1.24308,osrm
Begusarai,Bihar,25.41853,86.13389,Jamshedpur,Jharkhand,22.80278,86.18545,290.906,409.454,1.40751,osrm
Kumarapalayam,Tamil Nadu,11.44495,77.71102,Avadi,Tamil Nadu,13.11470,80.10981,319.992,386.094,1.20657,osrm
Arrah,Bihar,25.55629,84.66335,Gwalior,Madhya Pradesh,26.22983,78.17337,653.441,794.235,1.21547,osrm
Kochi,Kerala,9.93988,76.26022,Gundupalaiyam,Puducherry,11.94096,79.80294,446.190,563.399,1.26269,osrm
Kurichchi,Tamil Nadu,10.96085,76.97379,Bhadravati,Karnataka,13.84846,75.70502,349.397,461.206,1.32001,osrm
Madhurampur Dehri,Bihar,24.96899,84.19640,Giridih,Jharkhand,24.18622,86.30875,230.651,272.853,1.18297,osrm
Patna,Bihar,25.59408,85.13563,Madhurampur Dehri,Bihar,24.96899,84.19640,117.256,132.349,1.12871,osrm
Nowrangapur,Odisha,19.23114,82.54826,Basirhat City,West Bengal,22.66142,88.85477,757.732,951.516,1.25574,osrm
Mandoli,Delhi,28.70275,77.30995,Firozabad,Uttar Pradesh,27.15092,78.39781,202.971,242.918,1.19681,osrm
Bareilly,Uttar Pradesh,28.36678,79.43167,Palwal,Haryana,28.14469,77.32546,207.764,261.583,1.25904,osrm
Gwalior,Madhya Pradesh,26.22983,78.17337,Ghazipur,Uttar Pradesh,25.58333,83.58526,546.011,663.406,1.21500,osrm
Dinapur Nizamat,Bihar,25.63847,85.05118,Nanded,Maharashtra,19.16023,77.31497,1072.513,1371.265,1.27855,osrm
Chhindwara,Madhya Pradesh,22.05697,78.93958,Belagavi,Karnataka,15.85212,74.50447,832.634,1037.918,1.24655,osrm
Kaithal,Haryana,29.80153,76.39959,Dalupura,Delhi,28.60570,77.31901,160.138,201.788,1.26008,osrm
Madanapalle,Andhra Pradesh,13.55030,78.50288,Avadi,Tamil Nadu,13.11470,80.10981,180.487,236.185,1.30860,osrm
Bhimavaram,Andhra Pradesh,16.54078,81.52322,Sambalpur,Odisha,21.46527,83.97573,605.203,806.040,1.33185,osrm
Nellore,Andhra Pradesh,14.44992,79.98697,Nandyal,Andhra Pradesh,15.47799,78.48360,197.861,249.109,1.25901,osrm
Dewas,Madhya Pradesh,22.96585,76.05526,Sehore,Madhya Pradesh,23.20000,77.08333,108.339,115.382,1.06501,osrm
Kolhapur,Maharashtra,16.69563,74.23167,Nimach,Rajasthan,24.45949,74.86625,865.821,1054.557,1.21798,osrm
Firozabad,Uttar Pradesh,27.15092,78.39781,Mothihari,Bihar,26.64862,84.91656,648.757,764.233,1.17800,osrm
Mathura,Uttar Pradesh,27.50350,77.67215,Pilibhit,Uttar Pradesh,28.63124,79.80436,243.904,269.799,1.10617,osrm
Nimach,Rajasthan,24.45949,74.86625,Hathras,Uttar Pradesh,27.59551,78.05201,472.096,594.514,1.25931,osrm
Tiruvottiyur,Tamil Nadu,13.15823,80.30181,Kadapa,Andhra Pradesh,14.47995,78.82346,216.977,257.279,1.18574,osrm
Balasore,Odisha,21.49266,86.93348,Shantipur,West Bengal,23.24723,88.43302,248.669,332.721,1.33800,osrm
Machilipatnam,Andhra Pradesh,16.18747,81.13888,Narasaraopet,Andhra Pradesh,16.23488,80.04927,116.461,148.362,1.27392,osrm
Bikaner,Rajasthan,28.01762,73.31495,Chittorgarh,Rajasthan,24.88963,74.62403,371.420,442.704,1.19192,osrm
Vellore,Tamil Nadu,12.91840,79.13255,Erode,Tamil Nadu,11.34280,77.72741,232.438,271.034,1.16605,osrm
Rohtak,Haryana,28.89447,76.58917,Rewari,Haryana,28.19900,76.61830,77.385,84.719,1.09477,osrm
Dohad,Gujarat,22.83283,74.25986,Sirsa,Haryana,29.53489,75.02898,749.170,981.092,1.30957,osrm
Shahuwadi,Maharashtra,16.90993,73.94654,Ichalkaranji,Maharashtra,16.69117,74.46054,59.878,77.143,1.28832,osrm
Meerut,Uttar Pradesh,28.98002,77.70636,Gurugram,Haryana,28.46010,77.02635,87.974,108.009,1.22773,osrm
Barddhaman,West Bengal,23.25572,87.85691,Hinganghat,Maharashtra,20.54875,78.83978,977.524,1197.133,1.22466,osrm
Bali,West Bengal,22.64859,88.34115,Gudivada,Andhra Pradesh,16.43547,80.99555,1033.883,1190.805,1.15178,osrm
Moradabad,Uttar Pradesh,28.83893,78.77684,Habra,West Bengal,22.84202,88.65606,1191.707,1325.367,1.11216,osrm
Gandhidham,Gujarat,23.08333,70.13333,Jhansi,Uttar Pradesh,25.45887,78.57994,895.805,1110.521,1.23969,osrm
Raigarh,Chhattisgarh,21.89764,83.39660,Madhavaram,Tamil Nadu,13.14819,80.23140,1029.020,1326.793,1.28938,osrm
Rampur,Uttar Pradesh,28.81014,79.02699,Dhaulpur,Rajasthan,26.69286,77.87968,261.097,330.458,1.26565,osrm
Phusro,Jharkhand,23.75644,86.00510,Shrirampur,West Bengal,22.75278,88.34222,263.552,306.000,1.16106,osrm
Ballari,Karnataka,15.14205,76.92398,Tadpatri,Andhra Pradesh,14.90832,78.01031,119.524,131.621,1.10121,osrm
Varanasi,Uttar Pradesh,25.31668,83.01041,Ramgundam,Telangana,18.80084,79.45206,811.908,1054.714,1.29906,osrm
Vejalpur,Gujarat,22.69021,73.56299,Chhatarpur,Madhya Pradesh,24.91770,79.58871,661.079,846.689,1.28077,osrm
Meerut,Uttar Pradesh,28.98002,77.70636,Firozabad,Uttar Pradesh,27.15092,78.39781,214.402,248.533,1.15919,osrm
Robertsonpet,Karnataka,12.95629,78.27539,Belagavi,Karnataka,15.85212,74.50447,518.246,596.364,1.15074,osrm
Alwar,Rajasthan,27.56246,76.62500,Sikar,Rajasthan,27.61206,75.13996,146.458,192.730,1.31594,osrm
Narmadapuram,Madhya Pradesh,22.74747,77.72736,Bagalkot,Karnataka,16.18673,75.69614,759.922,937.618,1.23383,osrm
Vadodara,Gujarat,22.29941,73.20812,Ahmedabad,Gujarat,23.02579,72.58727,102.869,110.938,1.07844,osrm
Thiruvananthapuram,Kerala,8.48550,76.94924,Mulugu,Telangana,18.19100,79.94300,1126.634,1401.464,1.24394,osrm
Guna,Madhya Pradesh,24.64691,77.31130,Karol Bagh,Delhi,28.65136,77.19072,445.436,600.169,1.34737,osrm
Dhaulpur,Rajasthan,26.69286,77.87968,Bahraigh,Uttar Pradesh,27.57429,81.59474,380.455,475.229,1.24911,osrm
Ranchi,Jharkhand,23.34316,85.30940,Hazaribagh,Jharkhand,23.99241,85.36162,72.389,95.843,1.32400,osrm
Neyveli,Tamil Nadu,11.60877,79.49940,Hosur,Tamil Nadu,12.73647,77.83264,220.328,306.654,1.39181,osrm
Raigarh,Chhattisgarh,21.89764,83.39660,Kulti,West Bengal,23.73166,86.84372,407.920,564.209,1.38314,osrm
Saugor,Madhya Pradesh,23.83877,78.73874,Nagda,Madhya Pradesh,23.45834,75.41759,340.909,440.029,1.29075,osrm
