a,b,road_km
Bareilly,Mysuru,2222.670
Bareilly,Nagercoil,2697.730
Bareilly,Nagpur,979.067
Bareilly,Nanded,1394.242
Bareilly,Nashik,1279.920
Bareilly,Nellore,1891.042
Bareilly,Pathankot,704.358
Bareilly,Patiala,477.180
Bareilly,Patna,750.877
Bareilly,Prayagraj,448.524
Bareilly,Puducherry,2233.419
Bareilly,Pune,1466.270
Bareilly,Purnia,1008.438
Bareilly,Raipur,1073.524
Bareilly,Rajamahendravaram,1697.389
Bareilly,Rajapalayam,2564.820
Bareilly,Rajkot,1322.129
Bareilly,Ranchi,973.751
Bareilly,Ratlam,814.291
Bareilly,Rewa,578.363
Bareilly,Rohtak,345.651
Bareilly,Rourkela,1142.312
Bareilly,Saharanpur,364.130
Bareilly,Salem,2246.727
Bareilly,Sambalpur,1112.031
Bareilly,Satna,539.866
Bareilly,Saugor,621.456
Bareilly,Shillong,1626.648
Bareilly,Shimla,592.383
Bareilly,Shivamogga,2036.840
Bareilly,Sholapur,1579.530
Bareilly,Silchar,1814.054
Bareilly,Siliguri,1118.653
Bareilly,Sitapur,170.251
Bareilly,Sonipat,304.405
Bareilly,Srinagar,1011.773
Bareilly,Surat,1205.451
Bareilly,Thanjavur,2376.919
Bareilly,Thiruvananthapuram,2766.460
Bareilly,Thrissur,2485.272
Bareilly,Tiruchirappalli,2371.547
Bareilly,Tirunelveli,2616.367
Bareilly,Tirupati,2028.633
Bareilly,Tiruppur,2342.525
Bareilly,Tumkur,2039.282
Bareilly,Udaipur,813.349
Bareilly,Udupi,2135.679
Bareilly,Ujjain,809.508
Bareilly,Vadodara,1069.529
Bareilly,Varanasi,564.064
Bareilly,Vellore,2106.111
Bareilly,Vijayawada,1671.690
Bareilly,Visakhapatnam,1652.790
Bareilly,Warangal,1424.872
Bathinda,Begusarai,1438.926
Bathinda,Belagavi,1895.943
Bathinda,Bengaluru,2305.247
Bathinda,Bhagalpur,1543.048
Bathinda,Bhopal,1045.968
Bathinda,Bhubaneswar,1958.159
Bathinda,Bikaner,308.808
Bathinda,Bilaspur,1436.595
Bathinda,Brahmapur,2000.043
Bathinda,Chandigarh,228.623
Bathinda,Chennai,2481.447
Bathinda,Coimbatore,2553.238
Bathinda,Darbhanga,1384.768
Bathinda,Davangere,2098.845
Bathinda,Dehradun,369.895
Bathinda,Delhi,355.036
Bathinda,Deoghar,1575.771
Bathinda,Dhanbad,1514.586
Bathinda,Dibrugarh,2515.298
Bathinda,Dindigul,2665.615
Bathinda,Durgapur,1611.424
Bathinda,Erode,2549.206
Bathinda,Etawah,664.046
Bathinda,Farrukhabad,674.768
Bathinda,Gaya,1345.758
Bathinda,Giridih,1504.073
Bathinda,Gorakhpur,1082.388
Bathinda,Guwahati,2102.700
Bathinda,Gwalior,657.417
Bathinda,Hazaribagh,1425.442
Bathinda,Hisar,187.126
Bathinda,Hubballi,1982.095
Bathinda,Hyderabad,1808.350
Bathinda,Imphal,2562.446
Bathinda,Indore,1003.577
Bathinda,Jabalpur,1116.172
Bathinda,Jaipur,484.696
Bathinda,Jalandhar,160.776
Bathinda,Jalgaon,1296.928
Bathinda,Jammu,382.038
Bathinda,Jamnagar,1078.928
Bathinda,Jamshedpur,1642.112
Bathinda,Jhansi,771.764
Bathinda,Jodhpur,520.151
Bathinda,Kakinada,2121.716
Bathinda,Kalaburagi,1821.806
Bathinda,Kanpur,785.324
Bathinda,Karnal,265.886
Bathinda,Karur,2589.919
Bathinda,Kochi,2692.661
Bathinda,Kolhapur,1812.708
Bathinda,Kolkata,1778.502
Bathinda,Kollam,2832.940
Bathinda,Korba,1561.145
Bathinda,Kota,738.632
Bathinda,Kozhikode,2567.840
Bathinda,Kurnool,2001.252
Bathinda,Latur,1682.027
Bathinda,Lucknow,810.969
Bathinda,Ludhiana,144.987
Bathinda,Madurai,2732.456
Bathinda,Mangaluru,2326.557
Bathinda,Mathura,481.987
Bathinda,Meerut,377.103
Bathinda,Moradabad,490.706
Bathinda,Mumbai,1452.557
Bathinda,Muzaffarnagar,352.194
Bathinda,Muzaffarpur,1326.754
Bathinda,Mysuru,2360.617
Bathinda,Nagercoil,2948.326
Bathinda,Nagpur,1396.984
Bathinda,Nanded,1537.199
Bathinda,Nashik,1402.554
Bathinda,Nellore,2305.865
Bathinda,Pathankot,274.391
Bathinda,Patiala,155.743
Bathinda,Patna,1319.022
Bathinda,Prayagraj,996.101
Bathinda,Puducherry,2594.507
Bathinda,Pune,1581.560
Bathinda,Purnia,1573.089
Bathinda,Raipur,1472.765
Bathinda,Rajamahendravaram,2096.631
Bathinda,Rajapalayam,2815.416
Bathinda,Rajkot,1061.083
Bathinda,Ranchi,1521.327
Bathinda,Ratlam,952.239
Bathinda,Rewa,1125.939
Bathinda,Rohtak,274.660
Bathinda,Rourkela,1689.888
Bathinda,Saharanpur,309.486
Bathinda,Salem,2497.323
Bathinda,Sambalpur,1659.607
Bathinda,Satna,1071.023
Bathinda,Saugor,973.724
Bathinda,Shillong,2191.298
Bathinda,Shimla,327.488
Bathinda,Shivamogga,2174.787
Bathinda,Sholapur,1717.477
Bathinda,Silchar,2361.631
Bathinda,Siliguri,1683.304
Bathinda,Sitapur,744.445
Bathinda,Sonipat,295.278
Bathinda,Srinagar,581.807
Bathinda,Surat,1192.763
Bathinda,Thanjavur,2678.644
Bathinda,Thiruvananthapuram,2904.297
Bathinda,Thrissur,2623.219
Bathinda,Tiruchirappalli,2631.632
Bathinda,Tirunelveli,2866.963
Bathinda,Tirupati,2338.663
Bathinda,Tiruppur,2593.121
Bathinda,Tumkur,2234.802
Bathinda,Udaipur,773.482
Bathinda,Udupi,2273.626
Bathinda,Ujjain,947.456
Bathinda,Vadodara,1056.273
Bathinda,Varanasi,1111.640
Bathinda,Vellore,2451.811
Bathinda,Vijayawada,2086.514
Bathinda,Visakhapatnam,2052.032
Bathinda,Warangal,1839.696
Begusarai,Belagavi,2000.707
Begusarai,Bengaluru,2149.242
Begusarai,Bhagalpur,106.985
Begusarai,Bhopal,1105.543
Begusarai,Bhubaneswar,754.499
Begusarai,Bikaner,1490.307
Begusarai,Bilaspur,728.837
Begusarai,Brahmapur,923.595
Begusarai,Chandigarh,1340.646
Begusarai,Chennai,1967.623
Begusarai,Coimbatore,2389.707
Begusarai,Darbhanga,115.272
Begusarai,Davangere,2146.367
Begusarai,Dehradun,1176.798
Begusarai,Delhi,1113.285
Begusarai,Deoghar,168.488
Begusarai,Dhanbad,260.434
Begusarai,Dibrugarh,1169.355
Begusarai,Dindigul,2386.774
Begusarai,Durgapur,332.190
Begusarai,Erode,2284.381
Begusarai,Etawah,856.479
Begusarai,Farrukhabad,813.355
Begusarai,Gaya,174.833
Begusarai,Giridih,196.121
Begusarai,Gorakhpur,361.436
Begusarai,Guwahati,756.757
Begusarai,Gwalior,966.671
Begusarai,Hazaribagh,234.264
Begusarai,Hisar,1297.081
Begusarai,Hubballi,2029.618
Begusarai,Hyderabad,1580.256
Begusarai,Imphal,1216.503
Begusarai,Indore,1299.795
Begusarai,Jabalpur,810.889
Begusarai,Jaipur,1194.790
Begusarai,Jalandhar,1433.828
Begusarai,Jalgaon,1474.171
Begusarai,Jammu,1652.367
Begusarai,Jamnagar,2027.167
Begusarai,Jamshedpur,409.454
Begusarai,Jhansi,898.481
Begusarai,Jodhpur,1527.231
Begusarai,Kakinada,1337.333
Begusarai,Kalaburagi,1691.435
Begusarai,Kanpur,694.004
Begusarai,Karnal,1184.922
Begusarai,Karur,2311.079
Begusarai,Kochi,2571.148
Begusarai,Kolhapur,1935.307
Begusarai,Kolkata,504.586
Begusarai,Kollam,2697.026
Begusarai,Korba,684.300
Begusarai,Kota,1219.576
Begusarai,Kozhikode,2508.047
Begusarai,Kurnool,1794.945
Begusarai,Latur,1595.135
Begusarai,Lucknow,625.166
Begusarai,Ludhiana,1373.921
Begusarai,Madurai,2418.189
Begusarai,Mangaluru,2374.197
Begusarai,Mathura,1000.533
Begusarai,Meerut,1073.960
Begusarai,Moradabad,968.353
Begusarai,Mumbai,1859.751
Begusarai,Muzaffarnagar,1130.703
Begusarai,Muzaffarpur,116.147
Begusarai,Mysuru,2300.825
Begusarai,Nagercoil,2669.485
Begusarai,Nagpur,1079.807
Begusarai,Nanded,1494.982
Begusarai,Nashik,1707.574
Begusarai,Nellore,1792.042
Begusarai,Pathankot,1544.721
Begusarai,Patiala,1317.543
Begusarai,Patna,122.883
Begusarai,Prayagraj,482.465
Begusarai,Puducherry,2134.419
Begusarai,Pune,1761.674
Begusarai,Purnia,176.379
Begusarai,Raipur,845.933
Begusarai,Rajamahendravaram,1373.113
Begusarai,Rajapalayam,2536.576
Begusarai,Rajkot,1938.132
Begusarai,Ranchi,330.149
Begusarai,Ratlam,1430.295
Begusarai,Rewa,575.917
Begusarai,Rohtak,1186.014
Begusarai,Rourkela,569.373
Begusarai,Saharanpur,1204.493
Begusarai,Salem,2219.984
Begusarai,Sambalpur,674.466
Begusarai,Satna,634.427
Begusarai,Saugor,935.212
Begusarai,Shillong,845.355
Begusarai,Shimla,1432.746
Begusarai,Shivamogga,2178.022
Begusarai,Sholapur,1733.761
Begusarai,Silchar,952.285
Begusarai,Siliguri,351.900
Begusarai,Sitapur,712.283
Begusarai,Sonipat,1144.767
Begusarai,Srinagar,1852.136
Begusarai,Surat,1727.184
Begusarai,Thanjavur,2295.149
Begusarai,Thiruvananthapuram,2738.216
Begusarai,Thrissur,2495.562
Begusarai,Tiruchirappalli,2289.776
Begusarai,Tirunelveli,2588.123
Begusarai,Tirupati,1929.633
Begusarai,Tiruppur,2339.216
Begusarai,Tumkur,2124.021
Begusarai,Udaipur,1493.771
Begusarai,Udupi,2333.095
Begusarai,Ujjain,1345.680
Begusarai,Vadodara,1685.533
Begusarai,Varanasi,361.051
Begusarai,Vellore,2031.965
Begusarai,Vijayawada,1521.571
Begusarai,Visakhapatnam,1195.356
Begusarai,Warangal,1429.607
Belagavi,Bengaluru,504.711
Belagavi,Bhagalpur,2102.078
Belagavi,Bhopal,1086.150
Belagavi,Bhubaneswar,1578.772
Belagavi,Bikaner,1657.635
Belagavi,Bilaspur,1309.493
Belagavi,Brahmapur,1408.271
Belagavi,Chandigarh,1890.186
Belagavi,Chennai,804.948
Belagavi,Coimbatore,752.702
Belagavi,Darbhanga,2004.591
Belagavi,Davangere,245.399
Belagavi,Dehradun,1839.730
Belagavi,Delhi,1621.675
Belagavi,Deoghar,1991.831
Belagavi,Dhanbad,1894.103
Belagavi,Dibrugarh,3129.697
Belagavi,Dindigul,865.079
Belagavi,Durgapur,2000.219
Belagavi,Erode,748.670
Belagavi,Etawah,1626.792
Belagavi,Farrukhabad,1726.735
Belagavi,Gaya,1876.683
Belagavi,Giridih,1923.793
Belagavi,Gorakhpur,1799.091
Belagavi,Guwahati,2717.099
Belagavi,Gwalior,1504.566
Belagavi,Hazaribagh,1834.806
Belagavi,Hisar,1718.210
Belagavi,Hubballi,96.020
Belagavi,Hyderabad,567.168
Belagavi,Imphal,2918.678
Belagavi,Indore,895.552
Belagavi,Jabalpur,1194.438
Belagavi,Jaipur,1432.756
Belagavi,Jalandhar,1973.386
Belagavi,Jalgaon,672.850
Belagavi,Jammu,2191.925
Belagavi,Jamnagar,1263.200
Belagavi,Jamshedpur,1857.191
Belagavi,Jhansi,1428.826
Belagavi,Jodhpur,1453.703
Belagavi,Kakinada,1017.598
Belagavi,Kalaburagi,368.207
Belagavi,Kanpur,1610.234
Belagavi,Karnal,1764.884
Belagavi,Karur,789.383
Belagavi,Kochi,892.126
Belagavi,Kolhapur,111.018
Belagavi,Kolkata,2028.285
Belagavi,Kollam,1032.405
Belagavi,Korba,1393.335
Belagavi,Kota,1193.108
Belagavi,Kozhikode,666.845
Belagavi,Kurnool,483.105
Belagavi,Latur,431.169
Belagavi,Lucknow,1692.222
Belagavi,Ludhiana,1914.262
Belagavi,Madurai,931.920
Belagavi,Mangaluru,435.942
Belagavi,Mathura,1550.040
Belagavi,Meerut,1684.765
Belagavi,Moradabad,1791.542
Belagavi,Mumbai,514.816
Belagavi,Muzaffarnagar,1741.543
Belagavi,Muzaffarpur,1938.322
Belagavi,Mysuru,560.082
Belagavi,Nagercoil,1147.790
Belagavi,Nagpur,915.106
Belagavi,Nanded,565.532
Belagavi,Nashik,563.064
Belagavi,Nellore,695.521
Belagavi,Pathankot,2084.279
Belagavi,Patiala,1857.451
Belagavi,Patna,1878.053
Belagavi,Prayagraj,1553.531
Belagavi,Puducherry,840.761
Belagavi,Pune,368.107
Belagavi,Purnia,2173.352
Belagavi,Raipur,1196.523
Belagavi,Rajamahendravaram,959.643
Belagavi,Rajapalayam,1014.881
Belagavi,Rajkot,1174.166
Belagavi,Ranchi,1738.430
Belagavi,Ratlam,971.305
Belagavi,Rewa,1418.319
Belagavi,Rohtak,1678.918
Belagavi,Rourkela,1632.036
Belagavi,Saharanpur,1781.674
Belagavi,Salem,696.788
Belagavi,Sambalpur,1467.491
Belagavi,Satna,1389.555
Belagavi,Saugor,1249.051
Belagavi,Shillong,2682.476
Belagavi,Shimla,1989.051
Belagavi,Shivamogga,291.017
Belagavi,Sholapur,302.996
Belagavi,Silchar,2660.454
Belagavi,Siliguri,2297.703
Belagavi,Sitapur,1786.370
Belagavi,Sonipat,1664.928
Belagavi,Srinagar,2391.694
Belagavi,Surat,775.898
Belagavi,Thanjavur,878.108
Belagavi,Thiruvananthapuram,1103.761
Belagavi,Thrissur,822.683
Belagavi,Tiruchirappalli,831.096
Belagavi,Tirunelveli,1066.427
Belagavi,Tirupati,685.838
Belagavi,Tiruppur,792.585
Belagavi,Tumkur,434.266
Belagavi,Udaipur,1196.686
Belagavi,Udupi,383.011
Belagavi,Ujjain,950.401
Belagavi,Vadodara,899.379
Belagavi,Varanasi,1652.832
Belagavi,Vellore,698.750
Belagavi,Vijayawada,809.172
Belagavi,Visakhapatnam,1143.636
Belagavi,Warangal,739.072
Bengaluru,Bhagalpur,2112.189
Bengaluru,Bhopal,1438.107
Bengaluru,Bhubaneswar,1392.196
Bengaluru,Bikaner,2081.671
Bengaluru,Bilaspur,1425.567
Bengaluru,Brahmapur,1221.694
Bengaluru,Chandigarh,2297.478
Bengaluru,Chennai,327.277
Bengaluru,Coimbatore,333.439
Bengaluru,Darbhanga,2168.536
Bengaluru,Davangere,266.717
Bengaluru,Dehradun,2247.022
Bengaluru,Delhi,2028.967
Bengaluru,Deoghar,2021.895
Bengaluru,Dhanbad,1886.984
Bengaluru,Dibrugarh,2982.236
Bengaluru,Dindigul,355.443
Bengaluru,Durgapur,1868.427
Bengaluru,Erode,239.033
Bengaluru,Etawah,1875.937
Bengaluru,Farrukhabad,1944.125
Bengaluru,Gaya,1954.328
Bengaluru,Giridih,1951.157
Bengaluru,Gorakhpur,1964.306
Bengaluru,Guwahati,2576.137
Bengaluru,Gwalior,1781.395
Bengaluru,Hazaribagh,1886.884
Bengaluru,Hisar,2125.503
Bengaluru,Hubballi,407.698
Bengaluru,Hyderabad,561.638
Bengaluru,Imphal,2718.590
Bengaluru,Indore,1302.844
Bengaluru,Jabalpur,1359.652
Bengaluru,Jaipur,1840.048
Bengaluru,Jalandhar,2380.679
Bengaluru,Jalgaon,1059.723
Bengaluru,Jammu,2599.218
Bengaluru,Jamnagar,1687.236
Bengaluru,Jamshedpur,1743.415
Bengaluru,Jhansi,1674.514
Bengaluru,Jodhpur,1877.739
Bengaluru,Kakinada,828.560
Bengaluru,Kalaburagi,611.689
Bengaluru,Kanpur,1801.051
Bengaluru,Karnal,2172.176
Bengaluru,Karur,279.746
Bengaluru,Kochi,514.880
Bengaluru,Kolhapur,609.989
Bengaluru,Kolkata,1828.196
Bengaluru,Kollam,640.758
Bengaluru,Korba,1509.410
Bengaluru,Kota,1600.400
Bengaluru,Kozhikode,350.951
Bengaluru,Kurnool,354.657
Bengaluru,Latur,740.418
Bengaluru,Lucknow,1883.038
Bengaluru,Ludhiana,2321.555
Bengaluru,Madurai,422.284
Bengaluru,Mangaluru,365.157
Bengaluru,Mathura,1957.332
Bengaluru,Meerut,2092.057
Bengaluru,Moradabad,2198.835
Bengaluru,Mumbai,984.392
Bengaluru,Muzaffarnagar,2148.836
Bengaluru,Muzaffarpur,2112.716
Bengaluru,Mysuru,143.728
Bengaluru,Nagercoil,638.154
Bengaluru,Nagpur,1079.235
Bengaluru,Nanded,814.448
Bengaluru,Nashik,970.356
Bengaluru,Nellore,390.726
Bengaluru,Pathankot,2491.572
Bengaluru,Patiala,2264.744
Bengaluru,Patna,2041.998
Bengaluru,Prayagraj,1718.746
Bengaluru,Puducherry,336.629
Bengaluru,Pune,837.682
Bengaluru,Purnia,2189.787
Bengaluru,Raipur,1312.598
Bengaluru,Rajamahendravaram,773.067
Bengaluru,Rajapalayam,505.244
Bengaluru,Rajkot,1598.202
Bengaluru,Ranchi,1783.364
Bengaluru,Ratlam,1378.598
Bengaluru,Rewa,1583.534
Bengaluru,Rohtak,2086.210
Bengaluru,Rourkela,1662.795
Bengaluru,Saharanpur,2188.966
Bengaluru,Salem,187.151
Bengaluru,Sambalpur,1453.872
Bengaluru,Satna,1554.770
Bengaluru,Saugor,1468.224
Bengaluru,Shillong,2482.387
Bengaluru,Shimla,2396.343
Bengaluru,Shivamogga,305.480
Bengaluru,Sholapur,617.364
Bengaluru,Silchar,2460.365
Bengaluru,Siliguri,2321.265
Bengaluru,Sitapur,1977.186
Bengaluru,Sonipat,2072.220
Bengaluru,Srinagar,2798.986
Bengaluru,Surat,1199.933
Bengaluru,Thanjavur,368.472
Bengaluru,Thiruvananthapuram,706.884
Bengaluru,Thrissur,406.330
Bengaluru,Tiruchirappalli,321.459
Bengaluru,Tirunelveli,556.791
Bengaluru,Tirupati,258.258
Bengaluru,Tiruppur,282.949
Bengaluru,Tumkur,70.451
Bengaluru,Udaipur,1620.722
Bengaluru,Udupi,415.477
Bengaluru,Ujjain,1357.693
Bengaluru,Vadodara,1323.415
Bengaluru,Varanasi,1818.047
Bengaluru,Vellore,194.618
Bengaluru,Vijayawada,616.344
Bengaluru,Visakhapatnam,957.060
Bengaluru,Warangal,721.896
Bhagalpur,Bhopal,1207.106
Bhagalpur,Bhubaneswar,719.480
Bhagalpur,Bikaner,1591.869
Bhagalpur,Bilaspur,815.427
Bhagalpur,Brahmapur,888.576
Bhagalpur,Chandigarh,1442.208
Bhagalpur,Chennai,1956.042
Bhagalpur,Coimbatore,2378.126
Bhagalpur,Darbhanga,216.835
Bhagalpur,Davangere,2192.769
Bhagalpur,Dehradun,1278.361
Bhagalpur,Delhi,1214.848
Bhagalpur,Deoghar,119.263
Bhagalpur,Dhanbad,225.415
Bhagalpur,Dibrugarh,1162.128
Bhagalpur,Dindigul,2375.194
Bhagalpur,Durgapur,254.146
Bhagalpur,Erode,2272.800
Bhagalpur,Etawah,958.041
Bhagalpur,Farrukhabad,914.917
Bhagalpur,Gaya,239.546
Bhagalpur,Giridih,184.825
Bhagalpur,Gorakhpur,462.999
Bhagalpur,Guwahati,729.939
Bhagalpur,Gwalior,1068.233
Bhagalpur,Hazaribagh,273.848
Bhagalpur,Hisar,1398.644
Bhagalpur,Hubballi,2131.180
Bhagalpur,Hyderabad,1671.026
Bhagalpur,Imphal,1163.582
Bhagalpur,Indore,1401.358
Bhagalpur,Jabalpur,912.452
Bhagalpur,Jaipur,1296.352
Bhagalpur,Jalandhar,1535.390
Bhagalpur,Jalgaon,1575.734
Bhagalpur,Jammu,1753.929
Bhagalpur,Jamnagar,2128.729
Bhagalpur,Jamshedpur,374.435
Bhagalpur,Jhansi,1000.043
Bhagalpur,Jodhpur,1628.793
Bhagalpur,Kakinada,1302.313
Bhagalpur,Kalaburagi,1792.998
Bhagalpur,Kanpur,795.567
Bhagalpur,Karnal,1286.485
Bhagalpur,Karur,2299.498
Bhagalpur,Kochi,2559.568
Bhagalpur,Kolhapur,2036.870
Bhagalpur,Kolkata,401.418
Bhagalpur,Kollam,2685.445
Bhagalpur,Korba,749.014
Bhagalpur,Kota,1321.138
Bhagalpur,Kozhikode,2456.276
Bhagalpur,Kurnool,1827.560
Bhagalpur,Latur,1696.697
Bhagalpur,Lucknow,726.729
Bhagalpur,Ludhiana,1475.483
Bhagalpur,Madurai,2406.608
Bhagalpur,Mangaluru,2425.891
Bhagalpur,Mathura,1102.095
Bhagalpur,Meerut,1175.522
Bhagalpur,Moradabad,1069.915
Bhagalpur,Mumbai,1961.313
Bhagalpur,Muzaffarnagar,1232.266
Bhagalpur,Muzaffarpur,217.709
Bhagalpur,Mysuru,2249.054
Bhagalpur,Nagercoil,2657.905
Bhagalpur,Nagpur,1181.370
Bhagalpur,Nanded,1596.544
Bhagalpur,Nashik,1809.137
Bhagalpur,Nellore,1780.461
Bhagalpur,Pathankot,1646.283
Bhagalpur,Patiala,1419.106
Bhagalpur,Patna,224.445
Bhagalpur,Prayagraj,584.028
Bhagalpur,Puducherry,2122.838
Bhagalpur,Pune,1863.237
Bhagalpur,Purnia,107.635
Bhagalpur,Raipur,936.703
Bhagalpur,Rajamahendravaram,1338.093
Bhagalpur,Rajapalayam,2524.996
Bhagalpur,Rajkot,2039.695
Bhagalpur,Ranchi,365.214
Bhagalpur,Ratlam,1531.857
Bhagalpur,Rewa,677.480
Bhagalpur,Rohtak,1287.576
Bhagalpur,Rourkela,543.785
Bhagalpur,Saharanpur,1306.056
Bhagalpur,Salem,2208.403
Bhagalpur,Sambalpur,730.982
Bhagalpur,Satna,735.989
Bhagalpur,Saugor,1036.774
Bhagalpur,Shillong,818.537
Bhagalpur,Shimla,1534.308
Bhagalpur,Shivamogga,2234.401
Bhagalpur,Sholapur,1835.323
Bhagalpur,Silchar,905.358
Bhagalpur,Siliguri,283.156
Bhagalpur,Sitapur,813.845
Bhagalpur,Sonipat,1246.330
Bhagalpur,Srinagar,1953.698
Bhagalpur,Surat,1828.746
Bhagalpur,Thanjavur,2283.569
Bhagalpur,Thiruvananthapuram,2726.635
Bhagalpur,Thrissur,2483.982
Bhagalpur,Tiruchirappalli,2278.196
Bhagalpur,Tirunelveli,2576.542
Bhagalpur,Tirupati,1918.053
Bhagalpur,Tiruppur,2327.636
Bhagalpur,Tumkur,2115.901
Bhagalpur,Udaipur,1595.334
Bhagalpur,Udupi,2380.024
Bhagalpur,Ujjain,1447.243
Bhagalpur,Vadodara,1787.095
Bhagalpur,Varanasi,462.614
Bhagalpur,Vellore,2020.384
Bhagalpur,Vijayawada,1490.740
Bhagalpur,Visakhapatnam,1160.336
Bhagalpur,Warangal,1520.377
Bhopal,Bhubaneswar,1195.269
Bhopal,Bikaner,811.396
Bhopal,Bilaspur,628.622
Bhopal,Brahmapur,1174.620
Bhopal,Chandigarh,1037.151
Bhopal,Chennai,1435.649
Bhopal,Coimbatore,1687.917
Bhopal,Darbhanga,1111.963
Bhopal,Davangere,1233.524
Bhopal,Dehradun,986.696
Bhopal,Delhi,768.641
Bhopal,Deoghar,1214.068
Bhopal,Dhanbad,1152.883
Bhopal,Dibrugarh,2249.225
Bhopal,Dindigul,1760.764
Bhopal,Durgapur,1249.721
Bhopal,Erode,1644.354
Bhopal,Etawah,545.639
Bhopal,Farrukhabad,645.582
Bhopal,Gaya,984.055
Bhopal,Giridih,1142.370
Bhopal,Gorakhpur,841.042
Bhopal,Guwahati,1836.628
Bhopal,Gwalior,423.413
Bhopal,Hazaribagh,1063.740
Bhopal,Hisar,865.176
Bhopal,Hubballi,1116.774
Bhopal,Hyderabad,863.048
Bhopal,Imphal,2258.152
Bhopal,Indore,190.499
Bhopal,Jabalpur,315.428
Bhopal,Jaipur,579.721
Bhopal,Jalandhar,1120.352
Bhopal,Jalgaon,435.865
Bhopal,Jammu,1338.891
Bhopal,Jamnagar,879.447
Bhopal,Jamshedpur,1186.611
Bhopal,Jhansi,347.673
Bhopal,Jodhpur,718.594
Bhopal,Kakinada,1160.055
Bhopal,Kalaburagi,843.188
Bhopal,Kanpur,531.112
Bhopal,Karnal,911.849
Bhopal,Karur,1685.068
Bhopal,Kochi,1827.340
Bhopal,Kolhapur,1022.464
Bhopal,Kolkata,1416.800
Bhopal,Kollam,1967.619
Bhopal,Korba,712.109
Bhopal,Kota,340.074
Bhopal,Kozhikode,1702.518
Bhopal,Kurnool,1055.951
Bhopal,Latur,730.882
Bhopal,Lucknow,613.100
Bhopal,Ludhiana,1061.228
Bhopal,Madurai,1827.605
Bhopal,Mangaluru,1473.181
Bhopal,Mathura,697.006
Bhopal,Meerut,831.731
Bhopal,Moradabad,894.780
Bhopal,Mumbai,773.932
Bhopal,Muzaffarnagar,888.509
Bhopal,Muzaffarpur,1057.850
Bhopal,Mysuru,1495.296
Bhopal,Nagercoil,2043.475
Bhopal,Nagpur,351.187
Bhopal,Nanded,591.898
Bhopal,Nashik,607.105
Bhopal,Nellore,1260.068
Bhopal,Pathankot,1231.245
Bhopal,Patiala,1004.417
Bhopal,Patna,985.425
Bhopal,Prayagraj,622.990
Bhopal,Puducherry,1604.921
Bhopal,Pune,832.591
Bhopal,Purnia,1280.724
Bhopal,Raipur,636.630
Bhopal,Rajamahendravaram,1102.100
Bhopal,Rajapalayam,1910.565
Bhopal,Rajkot,790.413
Bhopal,Ranchi,1057.204
Bhopal,Ratlam,374.262
Bhopal,Rewa,524.316
Bhopal,Rohtak,825.884
Bhopal,Rourkela,989.288
Bhopal,Saharanpur,928.640
Bhopal,Salem,1592.472
Bhopal,Sambalpur,907.598
Bhopal,Satna,469.301
Bhopal,Saugor,169.929
Bhopal,Shillong,1925.226
Bhopal,Shimla,1136.016
Bhopal,Shivamogga,1309.466
Bhopal,Sholapur,820.917
Bhopal,Silchar,1999.928
Bhopal,Siliguri,1417.231
Bhopal,Sitapur,707.248
Bhopal,Sonipat,811.893
Bhopal,Srinagar,1538.660
Bhopal,Surat,629.759
Bhopal,Thanjavur,1722.665
Bhopal,Thiruvananthapuram,2038.975
Bhopal,Thrissur,1757.898
Bhopal,Tiruchirappalli,1717.292
Bhopal,Tirunelveli,1962.112
Bhopal,Tirupati,1393.361
Bhopal,Tiruppur,1688.270
Bhopal,Tumkur,1369.481
Bhopal,Udaipur,572.703
Bhopal,Udupi,1420.251
Bhopal,Ujjain,194.059
Bhopal,Vadodara,537.813
Bhopal,Varanasi,749.937
Bhopal,Vellore,1451.856
Bhopal,Vijayawada,1040.716
Bhopal,Visakhapatnam,1172.059
Bhopal,Warangal,793.898
Bhubaneswar,Bikaner,2040.488
Bhubaneswar,Bilaspur,536.558
Bhubaneswar,Brahmapur,174.122
Bhubaneswar,Chandigarh,1887.645
Bhubaneswar,Chennai,1241.589
Bhubaneswar,Coimbatore,1663.673
Bhubaneswar,Darbhanga,850.890
Bhubaneswar,Davangere,1478.315
Bhubaneswar,Dehradun,1737.928
Bhubaneswar,Delhi,1660.285
Bhubaneswar,Deoghar,635.425
Bhubaneswar,Dhanbad,500.514
Bhubaneswar,Dibrugarh,1595.766
Bhubaneswar,Dindigul,1660.741
Bhubaneswar,Durgapur,481.956
Bhubaneswar,Erode,1558.347
Bhubaneswar,Etawah,1350.267
Bhubaneswar,Farrukhabad,1360.354
Bhubaneswar,Gaya,665.315
Bhubaneswar,Giridih,564.687
Bhubaneswar,Gorakhpur,1021.788
Bhubaneswar,Guwahati,1189.667
Bhubaneswar,Gwalior,1303.833
Bhubaneswar,Hazaribagh,534.436
Bhubaneswar,Hisar,1844.081
Bhubaneswar,Hubballi,1493.897
Bhubaneswar,Hyderabad,997.062
Bhubaneswar,Imphal,1332.119
Bhubaneswar,Indore,1293.868
Bhubaneswar,Jabalpur,850.208
Bhubaneswar,Jaipur,1709.728
Bhubaneswar,Jalandhar,1980.827
Bhubaneswar,Jalgaon,1292.200
Bhubaneswar,Jammu,2199.367
Bhubaneswar,Jamnagar,1982.708
